Gene Symbol	Ensembl_id
GRID2	ENSG00000152208
GRM1	ENSG00000152822
GRN	ENSG00000030582
HACE1	ENSG00000085382
HEXA	ENSG00000213614
HEXB	ENSG00000049860
HNRNPA1	ENSG00000135486
HPCA	ENSG00000121905
HSPD1	ENSG00000144381
HTRA2	ENSG00000115317
ITM2B	ENSG00000136156
ITPR1	ENSG00000150995
KCNA1	ENSG00000111262
KCNC3	ENSG00000131398
KCND3	ENSG00000171385
KCNJ10	ENSG00000177807
KCNQ2	ENSG00000075043
KCNQ3	ENSG00000184156
KIDINS220	ENSG00000134313
KIF1A	ENSG00000130294
KIF1C	ENSG00000129250
KIF5A	ENSG00000155980
KMT2B	ENSG00000272333
L1CAM	ENSG00000198910
LRRK2	ENSG00000188906
LYST	ENSG00000143669
MAPT	ENSG00000186868
MARS2	ENSG00000247626
MECR	ENSG00000116353
MMACHC	ENSG00000132763
MRE11	ENSG00000020922
MT-ATP6	ENSG00000198899
MTTP	ENSG00000138823
NHLRC1	ENSG00000187566
NIPA1	ENSG00000170113
NKX6-2	ENSG00000148826
NOTCH3	ENSG00000074181
NPC1	ENSG00000141458
NPC2	ENSG00000119655
OPA3	ENSG00000125741
OPHN1	ENSG00000079482
OPTN	ENSG00000123240
PANK2	ENSG00000125779
PARK7	ENSG00000116288
PAX6	ENSG00000007372
PDYN	ENSG00000101327
PEX16	ENSG00000121680
PFN1	ENSG00000108518
PINK1	ENSG00000158828
PLA2G6	ENSG00000184381
PLP1	ENSG00000123560
PMPCA	ENSG00000165688
PNKD	ENSG00000127838
PNKP	ENSG00000039650
PNPLA6	ENSG00000032444
POLG	ENSG00000140521
POLR3A	ENSG00000148606
PRKCG	ENSG00000126583
PRKN	ENSG00000185345
PRKRA	ENSG00000180228
PRNP	ENSG00000171867
PRRT2	ENSG00000167371
PSEN1	ENSG00000080815
PSEN2	ENSG00000143801
RAB39B	ENSG00000155961
RARS2	ENSG00000146282
REEP1	ENSG00000068615
RNF170	ENSG00000120925
RNF216	ENSG00000011275
RTN2	ENSG00000125744
SACS	ENSG00000151835
SAR1B	ENSG00000152700
SCN1A	ENSG00000144285
SCN8A	ENSG00000196876
SEPSECS	ENSG00000109618
SERAC1	ENSG00000122335
SETX	ENSG00000107290
SGCE	ENSG00000127990
SIGMAR1	ENSG00000147955
SIL1	ENSG00000120725
SLC16A2	ENSG00000147100
SLC1A3	ENSG00000079215
SLC1A4	ENSG00000115902
SLC25A46	ENSG00000164209
SLC2A1	ENSG00000117394
SLC30A10	ENSG00000196660
SLC39A14	ENSG00000104635
SLC52A2	ENSG00000185803
SLC52A3	ENSG00000101276
SLC6A3	ENSG00000142319
SLC6A5	ENSG00000165970
SLC9A6	ENSG00000198689
SNCA	ENSG00000145335
SNX14	ENSG00000135317
SOD1	ENSG00000142168
SPART	ENSG00000133104
SPAST	ENSG00000021574
SPG11	ENSG00000104133
SPG21	ENSG00000090487
SPG7	ENSG00000197912
SPR	ENSG00000116096
SPTBN2	ENSG00000173898
SRD5A3	ENSG00000128039
STUB1	ENSG00000103266
SYNE1	ENSG00000131018
SYNJ1	ENSG00000159082
TARDBP	ENSG00000120948
TBK1	ENSG00000183735
TGM6	ENSG00000166948
TH	ENSG00000180176
THAP1	ENSG00000131931
TMEM240	ENSG00000205090
TOR1A	ENSG00000136827
TPP1	ENSG00000166340
TSEN2	ENSG00000154743
TSEN54	ENSG00000182173
TTBK2	ENSG00000128881
TTC19	ENSG00000011295
TTPA	ENSG00000137561
TUBB4A	ENSG00000104833
TWNK	ENSG00000107815
TYROBP	ENSG00000011600
UBQLN2	ENSG00000188021
VAC14	ENSG00000103043
VAPB	ENSG00000124164
VCP	ENSG00000165280
VLDLR	ENSG00000147852
VPS13A	ENSG00000197969
VPS13D	ENSG00000048707
VPS35	ENSG00000069329
VRK1	ENSG00000100749
WASHC5	ENSG00000164961
WDR45	ENSG00000196998
WDR45B	ENSG00000141580
WDR73	ENSG00000177082
WDR81	ENSG00000167716
WFS1	ENSG00000109501
WWOX	ENSG00000186153
YY1	ENSG00000100811
ZFYVE26	ENSG00000072121
AP5Z1	ENSG00000242802
AUH	ENSG00000148090
BCAP31	ENSG00000185825
CCNF	ENSG00000162063
CHCHD10	ENSG00000250479
DARS	ENSG00000115866
DDC	ENSG00000132437
DLAT	ENSG00000150768
ERLIN1	ENSG00000107566
GNAL	ENSG00000141404
HTRA1	ENSG00000166033
KIAA1161	ENSG00000164976
NT5C2	ENSG00000076685
PDGFB	ENSG00000100311
PDGFRB	ENSG00000113721
SLC20A2	ENSG00000168575
SQSTM1	ENSG00000161011
TAF1	ENSG00000147133
TREM2	ENSG00000095970
XPR1	ENSG00000143324
